single-site Pauli orbits under the order-5 Clifford stabilizer of |T5>: [(0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]
  X^0Z^1 X^0Z^2 X^1Z^4 X^2Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [42, 42, 42, 42, 42], total 210
  X^0Z^1 X^0Z^2 X^1Z^4 X^3Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [42, 42, 42, 42, 42], total 210
  X^0Z^1 X^0Z^2 X^1Z^4 X^4Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [45, 45, 45, 45, 45], total 225
  X^0Z^1 X^0Z^2 X^2Z^4 X^2Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [36, 36, 36, 36, 36], total 180
  X^0Z^1 X^0Z^2 X^2Z^4 X^3Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [45, 45, 45, 45, 45], total 225
  X^0Z^1 X^0Z^2 X^2Z^4 X^4Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [42, 42, 42, 42, 42], total 210
  X^0Z^1 X^0Z^2 X^3Z^4 X^3Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [36, 36, 36, 36, 36], total 180
  X^0Z^1 X^0Z^2 X^3Z^4 X^4Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [42, 42, 42, 42, 42], total 210
  X^0Z^1 X^0Z^2 X^4Z^4 X^4Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [36, 36, 36, 36, 36], total 180
  X^0Z^1 X^0Z^3 X^0Z^3 X^0Z^3: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [15, 15, 15, 15, 15], total 75
  X^0Z^1 X^0Z^3 X^0Z^3 X^0Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [15, 15, 15, 15, 15], total 75
  X^0Z^1 X^0Z^3 X^0Z^3 X^1Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [15, 15, 15, 15, 15], total 75
  X^0Z^1 X^0Z^3 X^0Z^3 X^2Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [15, 15, 15, 15, 15], total 75
  X^0Z^1 X^0Z^3 X^0Z^3 X^3Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [15, 15, 15, 15, 15], total 75
  X^0Z^1 X^0Z^3 X^0Z^3 X^4Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [15, 15, 15, 15, 15], total 75
  X^0Z^1 X^0Z^3 X^0Z^4 X^0Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [15, 15, 15, 15, 15], total 75
  X^0Z^1 X^0Z^3 X^0Z^4 X^1Z^4: nonvanishing sub-sector terms per sector [5, 5, 5, 5, 5], bounds [45, 45, 45, 45, 45], total 225
