8179 stage-1 tasks over 326368 pivot pairs
[342s] task 5460/8179: classes 16436327, five-subsets 17279092, survivors 0
[342s] task 5520/8179: classes 16627077, five-subsets 17477766, survivors 0
[342s] task 5580/8179: classes 16786159, five-subsets 17643912, survivors 0
[342s] task 5640/8179: classes 16990366, five-subsets 17856032, survivors 0
[350s] task 5700/8179: classes 17419107, five-subsets 18303955, survivors 0
[351s] task 5760/8179: classes 17627990, five-subsets 18524302, survivors 0
[352s] task 5820/8179: classes 17819521, five-subsets 18722237, survivors 0
[365s] task 5880/8179: classes 18041965, five-subsets 18955102, survivors 0
[365s] task 5940/8179: classes 18147442, five-subsets 19065357, survivors 0
[365s] task 6000/8179: classes 18284182, five-subsets 19208633, survivors 0
[368s] task 6060/8179: classes 18551434, five-subsets 19485237, survivors 0
[371s] task 6120/8179: classes 18767587, five-subsets 19710658, survivors 0
[374s] task 6180/8179: classes 18888479, five-subsets 19836959, survivors 0
[375s] task 6240/8179: classes 19029437, five-subsets 19983034, survivors 0
[378s] task 6300/8179: classes 19120559, five-subsets 20079634, survivors 0
[381s] task 6360/8179: classes 19268915, five-subsets 20233084, survivors 0
[384s] task 6420/8179: classes 19424817, five-subsets 20396328, survivors 0
[386s] task 6480/8179: classes 19567888, five-subsets 20545335, survivors 0
[396s] task 6540/8179: classes 19791385, five-subsets 20779224, survivors 0
[396s] task 6600/8179: classes 19943766, five-subsets 20939678, survivors 0
[396s] task 6660/8179: classes 20046232, five-subsets 21047204, survivors 0
[400s] task 6720/8179: classes 20184900, five-subsets 21194114, survivors 0
[402s] task 6780/8179: classes 20313430, five-subsets 21328343, survivors 0
[405s] task 6840/8179: classes 20485570, five-subsets 21508378, survivors 0
[408s] task 6900/8179: classes 20603331, five-subsets 21631063, survivors 0
[408s] task 6960/8179: classes 20736225, five-subsets 21769499, survivors 0
[421s] task 7020/8179: classes 21023728, five-subsets 22160581, survivors 0
[421s] task 7080/8179: classes 21287218, five-subsets 22434636, survivors 0
[422s] task 7140/8179: classes 21457821, five-subsets 22613952, survivors 0
[423s] task 7200/8179: classes 21590103, five-subsets 22751654, survivors 0
[433s] task 7260/8179: classes 21808682, five-subsets 22980522, survivors 0
[433s] task 7320/8179: classes 21923939, five-subsets 23101354, survivors 0
[435s] task 7380/8179: classes 22137939, five-subsets 23325253, survivors 0
[444s] task 7440/8179: classes 22338142, five-subsets 23533444, survivors 0
[444s] task 7500/8179: classes 22545460, five-subsets 23748739, survivors 0
[444s] task 7560/8179: classes 22669639, five-subsets 23879772, survivors 0
[447s] task 7620/8179: classes 22772827, five-subsets 23987661, survivors 0
[457s] task 7680/8179: classes 22955110, five-subsets 24179257, survivors 0
[457s] task 7740/8179: classes 23090562, five-subsets 24321661, survivors 0
[457s] task 7800/8179: classes 23303503, five-subsets 24544665, survivors 0
[460s] task 7860/8179: classes 23388311, five-subsets 24633047, survivors 0
[468s] task 7920/8179: classes 23721394, five-subsets 24980523, survivors 0
[469s] task 7980/8179: classes 23915101, five-subsets 25183212, survivors 0
[471s] task 8040/8179: classes 24042632, five-subsets 25317644, survivors 0
[480s] task 8100/8179: classes 24213025, five-subsets 25496423, survivors 0
[480s] task 8160/8179: classes 24419077, five-subsets 25803527, survivors 0
[480s] stage 1 done: 24510983 need-3 classes, 25899498 five-subsets, 0 survive the exact independence filter
survivor rank(F5 + T) histogram: {}
[481s] stage 2: {'honest': 0, 'dishonest': 0, 'pairs': 0, 'inW7': 0, 'decided': 0}; decider {}
CASE B EXCLUDED: no seven-state span containing V_3 has five images in a 3-dim space mod ELL
      488.16 real      1419.14 user        12.88 sys
           252592128  maximum resident set size
                   0  average shared memory size
                   0  average unshared data size
                   0  average unshared stack size
              360282  page reclaims
                   0  page faults
                   0  swaps
                   0  block input operations
                   0  block output operations
                   1  messages sent
                   1  messages received
                   1  signals received
                3009  voluntary context switches
              924702  involuntary context switches
            91217574  instructions retired
            66003072  cycles elapsed
            11256360  peak memory footprint
